09-02 17:55:39:513    encoder1_count:34
09-02 17:55:39:527    encoder1_count:34
09-02 17:55:39:543    encoder1_count:34
09-02 17:55:39:545    encoder1_count:34
09-02 17:55:39:559    encoder1_count:34
09-02 17:55:39:575    encoder1_count:34
09-02 17:55:39:577    encoder1_count:34
09-02 17:55:39:591    encoder1_count:34
09-02 17:55:39:607    encoder1_count:39
09-02 17:55:39:609    encoder1_count:39
09-02 17:55:39:623    encoder1_count:39
09-02 17:55:39:639    encoder1_count:38
09-02 17:55:39:641    encoder1_count:38
09-02 17:55:39:656    encoder1_count:38
09-02 17:55:39:671    encoder1_count:38
09-02 17:55:39:673    encoder1_count:38
09-02 17:55:39:687    encoder1_count:38
09-02 17:55:39:703    encoder1_count:38
09-02 17:55:39:722    encoder1_count:38
09-02 17:55:39:722    encoder1_count:38
09-02 17:55:39:736    encoder1_count:38
09-02 17:55:39:738    encoder1_count:38
09-02 17:55:39:751    encoder1_count:38
09-02 17:55:39:768    encoder1_count:38
09-02 17:55:39:769    encoder1_count:38
09-02 17:55:39:783    encoder1_count:38
09-02 17:55:39:799    encoder1_count:38
09-02 17:55:39:801    encoder1_count:38
09-02 17:55:39:815    encoder1_count:38
09-02 17:55:39:831    encoder1_count:38
09-02 17:55:39:833    encoder1_count:38
09-02 17:55:39:848    encoder1_count:38
09-02 17:55:39:863    encoder1_count:38
09-02 17:55:39:865    encoder1_count:38
09-02 17:55:39:879    encoder1_count:38
09-02 17:55:39:895    encoder1_count:38
09-02 17:55:39:897    encoder1_count:38
09-02 17:55:39:911    encoder1_count:38
09-02 17:55:39:927    encoder1_count:38
09-02 17:55:39:965    encoder1_count:38
09-02 17:55:39:965    encoder1_count:38
09-02 17:55:39:967    encoder1_count:38
09-02 17:55:39:967    encoder1_count:38
09-02 17:55:39:976    encoder1_count:38
09-02 17:55:39:991    encoder1_count:38
09-02 17:55:39:994    encoder1_count:38
09-02 17:55:40:008    encoder1_count:38
09-02 17:55:40:024    encoder1_count:38
09-02 17:55:40:026    encoder1_count:38
09-02 17:55:40:039    encoder1_count:38
09-02 17:55:40:055    encoder1_count:38
09-02 17:55:40:058    encoder1_count:38
09-02 17:55:40:072    encoder1_count:38
09-02 17:55:40:088    encoder1_count:38
09-02 17:55:40:090    encoder1_count:38
09-02 17:55:40:104    encoder1_count:38
09-02 17:55:40:120    encoder1_count:38
09-02 17:55:40:122    encoder1_count:38
09-02 17:55:40:136    encoder1_count:38
09-02 17:55:40:152    encoder1_count:38
09-02 17:55:40:154    encoder1_count:38
09-02 17:55:40:168    encoder1_count:38
09-02 17:55:40:184    encoder1_count:38
09-02 17:55:40:209    encoder1_count:38
09-02 17:55:40:209    encoder1_count:38
09-02 17:55:40:216    encoder1_count:38
09-02 17:55:40:217    encoder1_count:38
09-02 17:55:40:232    encoder1_count:38
09-02 17:55:40:248    encoder1_count:38
09-02 17:55:40:250    encoder1_count:38
09-02 17:55:40:264    encoder1_count:38
09-02 17:55:40:280    encoder1_count:38
09-02 17:55:40:282    encoder1_count:38
09-02 17:55:40:296    encoder1_count:38
09-02 17:55:40:313    encoder1_count:38
09-02 17:55:40:314    encoder1_count:38
09-02 17:55:40:328    encoder1_count:38
09-02 17:55:40:344    encoder1_count:38
09-02 17:55:40:346    encoder1_count:38
09-02 17:55:40:360    encoder1_count:38
09-02 17:55:40:376    encoder1_count:38
09-02 17:55:40:378    encoder1_count:38
09-02 17:55:40:392    encoder1_count:38
09-02 17:55:40:408    encoder1_count:38
09-02 17:55:40:437    encoder1_count:38
09-02 17:55:40:437    encoder1_count:38
09-02 17:55:40:440    encoder1_count:38
09-02 17:55:40:442    encoder1_count:38
09-02 17:55:40:457    encoder1_count:38
09-02 17:55:40:473    encoder1_count:38
09-02 17:55:40:474    encoder1_count:38
09-02 17:55:40:488    encoder1_count:38
09-02 17:55:40:504    encoder1_count:38
09-02 17:55:40:506    encoder1_count:38
09-02 17:55:40:520    encoder1_count:39
09-02 17:55:40:536    encoder1_count:39
09-02 17:55:40:539    encoder1_count:39
09-02 17:55:40:552    encoder1_count:39
09-02 17:55:40:568    encoder1_count:39
09-02 17:55:40:570    encoder1_count:39
09-02 17:55:40:585    encoder1_count:39
09-02 17:55:40:600    encoder1_count:38
09-02 17:55:40:602    encoder1_count:38
09-02 17:55:40:616    encoder1_count:38
09-02 17:55:40:632    encoder1_count:38
09-02 17:55:40:634    encoder1_count:38
09-02 17:55:40:648    encoder1_count:38
09-02 17:55:40:681    encoder1_count:38
09-02 17:55:40:681    encoder1_count:38
09-02 17:55:40:683    encoder1_count:38
09-02 17:55:40:697    encoder1_count:39
09-02 17:55:40:698    encoder1_count:39
09-02 17:55:40:713    encoder1_count:40
09-02 17:55:40:728    encoder1_count:39
09-02 17:55:40:731    encoder1_count:39
09-02 17:55:40:745    encoder1_count:39
09-02 17:55:40:760    encoder1_count:39
09-02 17:55:40:763    encoder1_count:39
09-02 17:55:40:777    encoder1_count:39
09-02 17:55:40:793    encoder1_count:39
09-02 17:55:40:795    encoder1_count:39
09-02 17:55:40:808    encoder1_count:39
09-02 17:55:40:824    encoder1_count:39
09-02 17:55:40:827    encoder1_count:39
09-02 17:55:40:840    encoder1_count:39
09-02 17:55:40:856    encoder1_count:39
09-02 17:55:40:859    encoder1_count:39
09-02 17:55:40:873    encoder1_count:39
09-02 17:55:40:889    encoder1_count:39
09-02 17:55:40:891    encoder1_count:39
09-02 17:55:40:904    encoder1_count:39
